original_title,rule_based_label,llm_label,llm_major_group,llm_ssoc_code,llm_ssoc_occupation_title,llm_confidence,llm_votes,llm_reasoning,validation_status,prompt_version
BUTCHER,NONE,RNF,7,75110,Butcher/Fishmonger and related food preparer,0.98,3,"Butcher is a craftsman occupation involving skilled manual work in food preparation, falling under Group 7 Craftsmen and Related Trades Workers.",LLM_ONLY,v1.2
ECONOMIST,NONE,PME,2,26310,Economist,1.0,3,Economist is a professional occupation requiring specialized knowledge in economics and falls under Group 2 Professionals.,LLM_ONLY,v1.2
FUND MANAGER,NONE,PME,2,24133,Fund/Portfolio manager,1.0,3,"Fund Manager directly matches the SSOC code 24133 for Fund/Portfolio manager, which is classified as a professional role requiring specialized financial expertise.",LLM_ONLY,v1.2
IT MANAGER,NONE,PME,1,13304,ICT service manager,0.95,3,"IT Manager falls under Group 1 as managers are classified as PME by default, and ICT service manager is the most appropriate match for IT management roles.",LLM_ONLY,v1.2
SOFTWARE ENGINEER,NONE,PME,2,25121,Software developer,0.95,3,"Software Engineer falls under Group 2 Professionals as per the rule that 'Engineer' in title defaults to PME, and software engineering requires professional-level technical knowledge and qualifications.",LLM_ONLY,v1.2
ADMIN CLERK,NONE,RNF,4,41109,General office clerk n.e.c.,0.95,3,"Admin clerk is a clerical support role that falls under Group 4, matching the general office clerk classification for administrative clerical work.",LLM_ONLY,v1.2
QA TECHNICIAN,NONE,T,3,31173,Process engineering technician,0.75,3,"QA Technician falls under Group 3 as technicians are classified in this group, with process engineering technician being the closest match for quality assurance technical work.",LLM_ONLY,v1.2
VICE PRESIDENT OF SALES,NONE,PME,1,12213,Regional sales manager,0.92,3,"Vice President of Sales is a senior management position overseeing sales operations, falling under Group 1 as a senior official/manager, with Regional sales manager being the closest match from the candidate codes.",LLM_ONLY,v1.2
MAINTENANCE TECHNICIAN,NONE,T,3,31295,Airport maintenance technician,0.75,3,"Maintenance technician falls under Group 3 as technicians are classified as associate professionals, with airport maintenance technician being the closest general maintenance technician code available.",LLM_ONLY,v1.2
ACCOUNTS CLERK,NONE,RNF,4,43119,Accounting/Bookkeeping clerk n.e.c.,0.98,3,"Accounts clerk is a clerical support role under Group 4, handling accounting and bookkeeping tasks at a non-professional level.",LLM_ONLY,v1.2
ENGINEER,NONE,PME,2,21411,Manufacturing engineer,0.6,3,"Generic 'Engineer' title defaults to PME Group 2 as per classification rules, with manufacturing engineer selected as a representative engineering occupation due to lack of specific engineering discipline information.",NEEDS_REVIEW,v1.2
VEHICAL INSPECTOR,NONE,T,3,31720,Safety inspector (vehicles/processes/products),0.9,3,"Vehicle inspector (despite misspelling) is a safety inspection role for vehicles, falling under Group 3 Associate Professionals and Technicians.",LLM_ONLY,v1.2
OPS EXEC,NONE,T,3,33229,Commercial/Marketing sales executive n.e.c.,0.65,3,"OPS EXEC (Operations Executive) is an executive-level position that falls under Group 3 Associate Professionals, with 33229 being the closest match for general executive roles not elsewhere classified.",NEEDS_REVIEW,v1.2
CASHIER,NONE,RNF,5,52302,Cashier (general),0.98,3,Cashier is a service and sales occupation that falls under Group 5 Services and Sales Workers as it involves handling customer transactions in retail or service settings.,LLM_ONLY,v1.2
MECHNICAL ENGINEER,NONE,PME,2,21441,Mechanical engineer,0.98,3,"Despite the misspelling of 'MECHNICAL', this clearly refers to a Mechanical Engineer which falls under Group 2 Professionals as it requires professional engineering qualifications.",LLM_ONLY,v1.2
MECHANICAL ENGINEER,NONE,PME,2,21441,Mechanical engineer,1.0,3,"Mechanical Engineer is a professional occupation requiring specialized engineering knowledge and qualifications, directly matching the candidate SSOC code 21441.",LLM_ONLY,v1.2
REGISTERED NURSE,NONE,PME,2,22200,Registered nurse and related nursing professional (excluding enrolled nurse),1.0,3,"Registered nurses are healthcare professionals requiring professional qualifications and registration, falling under Group 2 Professionals.",LLM_ONLY,v1.2
STORE KEEPER,NONE,RNF,4,43212,Storekeeper,1.0,3,"Store keeper is a clerical support role responsible for managing inventory and stock records, falling under Group 4.",LLM_ONLY,v1.2
SOLUTION ARCHITECT,NONE,PME,2,25113,Enterprise/Solution/Software architect,1.0,3,Solution Architect is explicitly listed in the candidate codes as an ICT professional role under Group 2 Professionals.,LLM_ONLY,v1.2
TECHNCIAN,NONE,T,3,31100,Physical and Engineering Science Technicians,0.85,3,The title 'TECHNCIAN' (misspelled 'TECHNICIAN') falls under Group 3 as technicians are classified as Associate Professionals and Technicians by default.,LLM_ONLY,v1.2
PROFESSOR,NONE,PME,2,23103,Teaching assistant/Tutor in university,0.85,3,"Professor is a professional-level teaching position in higher education, falling under Group 2 Professionals as it requires advanced academic qualifications and expertise.",LLM_ONLY,v1.2
HAIRSTYLIST,NONE,RNF,5,51412,Hairdresser,0.98,3,"Hairstylist is a service worker role that falls under Group 5 Services and Sales Workers, specifically classified as a hairdresser.",LLM_ONLY,v1.2
DEALER,NONE,RNF,5,51702,Bookmaker/Croupier/Casino dealer and related gaming worker,0.6,3,"Without additional context, 'DEALER' most commonly refers to casino/gaming dealers in Singapore's occupational context, which falls under Group 5 Services and Sales Workers, though it could also refer to financial dealers which would be PME.",NEEDS_REVIEW,v1.2
ASST ADMIN OFFICER,NONE,RNF,4,41101,General office clerk,0.85,3,Assistant Admin Officer is a clerical support role following the base occupation 'Admin Officer' which falls under Group 4 Clerical Support Workers as administrative support staff.,LLM_ONLY,v1.2
CHILDCARE TEACHER,NONE,T,3,36100,Preschool education teacher,0.94,3,Childcare teachers are classified under preschool education teachers in Group 3 as they provide early childhood education and care services.,LLM_ONLY,v1.2
AIRCRAFT TECHNICIAN,NONE,T,3,31211,Aeronautical engineering technician,0.95,3,"Aircraft technician falls under Group 3 as technicians are classified as associate professionals, and aeronautical engineering technician is the most appropriate match for aircraft maintenance and technical work.",LLM_ONLY,v1.2
POSTMAN,NONE,RNF,4,44122,Postman,1.0,3,Postman is a clerical support role involving mail delivery and falls under Group 4 as specified in the candidate SSOC codes.,LLM_ONLY,v1.2
PAYROLL CLERK,NONE,RNF,4,43119,Accounting/Bookkeeping clerk n.e.c.,0.95,3,"Payroll clerk is a clerical support role handling accounting and bookkeeping tasks related to employee compensation, falling under Group 4 Clerical Support Workers.",LLM_ONLY,v1.2
PRIVATE HIRE DRIVER,RNF,RNF,8,83226,Private-hire car driver,1.0,3,"Private hire driver is explicitly classified under Group 8 as a plant and machine operator, matching the candidate SSOC code 83226.",AGREE,v1.2
PSYCHOLOGIST,NONE,PME,2,26619,Psychologist n.e.c.,0.9,3,"Psychologist is a professional occupation requiring advanced qualifications and falls under Group 2 Professionals, with the general n.e.c. code used when no specific specialization is indicated.",LLM_ONLY,v1.2
PRODUCATION PACKER,NONE,RNF,9,93201,Hand packer,0.92,3,Production packer (despite misspelling) is a manual packing role that falls under Group 9 as a hand packer performing routine manual tasks.,LLM_ONLY,v1.2
DMS REP,NONE,NA,X,X0000,Not Applicable,0.3,3,"DMS REP is an unclear abbreviation that could mean various things (Document Management System Representative, Direct Marketing Sales Representative, etc.) and cannot be reliably classified without additional context.",NEEDS_REVIEW,v1.2
SR ACCTS ASST,NONE,RNF,4,41101,General Office Clerk,0.9,3,SR ACCTS ASST (Senior Accounts Assistant) is a clerical support role that follows the base occupation 'Accounts Assistant' which falls under Group 4 Clerical Support Workers.,LLM_ONLY,v1.2
RISK MANAGER,NONE,PME,1,12133,Risk management manager,0.98,3,"Risk Manager is a managerial position responsible for risk management operations, falling under Group 1 Managers with the specific SSOC code for risk management manager.",LLM_ONLY,v1.2
SHIPPING CLERK,NONE,RNF,4,43231,Shipping clerk,1.0,3,Shipping clerk is explicitly listed in the candidate codes as a clerical support role under Group 4.,LLM_ONLY,v1.2
LAWYER,NONE,PME,2,26119,Lawyer n.e.c.,0.95,3,"Lawyer is a professional occupation under Group 2 requiring specialized legal qualifications, and 26119 covers lawyers not elsewhere classified when specific practice type is not indicated.",LLM_ONLY,v1.2
ENGR ASST,NONE,T,3,31210,Engineering Technician,0.85,3,"ENGR ASST (Engineering Assistant) follows the base occupation 'Engineer' but as an assistant role, it falls under technician level support in Group 3 rather than professional engineering in Group 2.",LLM_ONLY,v1.2
FACILITY TECHNICIAN,NONE,T,3,31151,Mechanical engineering technician,0.75,3,"Facility Technician is a technician role responsible for building systems maintenance, most closely aligning with mechanical engineering technician among the available codes.",LLM_ONLY,v1.2
SYSTEMS ANALYST,NONE,PME,2,25111,Systems designer/analyst,1.0,3,Systems Analyst is a professional ICT role that directly matches the candidate SSOC code 25111 for systems designer/analyst under Group 2 Professionals.,LLM_ONLY,v1.2
TAXI DRIVER,RNF,RNF,8,83221,Taxi driver,1.0,3,Taxi driver is explicitly listed under Group 8 Plant and Machine Operators and Assemblers as a vehicle operator role.,AGREE,v1.2
SUPREVISOR,NONE,PME,1,13220,Manufacturing Supervisor,0.75,3,"SUPREVISOR appears to be a misspelling of 'Supervisor', which falls under Group 1 as supervisors are classified as managers overseeing operations and workers.",LLM_ONLY,v1.2
CANTEEN ASSISTANT,NONE,RNF,9,94131,Kitchen Helper,0.9,3,"Canteen assistant performs support duties in food service establishments, classified under Group 9 as kitchen helpers and related workers.",LLM_ONLY,v1.2
ASST ENGINEER,NONE,PME,2,21441,Mechanical engineer,0.75,3,"Assistant Engineer follows the base occupation 'Engineer' which defaults to PME Group 2, though specific engineering discipline cannot be determined so mechanical engineer is used as a general engineering classification.",LLM_ONLY,v1.2
INFANT CARE TEACHER,NONE,T,3,36100,Preschool education teacher,0.85,3,"Infant care teacher is classified under preschool education teacher as they work with young children in early childhood education settings, which falls under Group 3 Associate Professionals and Technicians.",LLM_ONLY,v1.2
PARALEGAL,NONE,T,3,34110,Legal associate professional,0.98,3,Paralegals are legal associate professionals who provide support to lawyers and fall under Group 3 Associate Professionals and Technicians.,LLM_ONLY,v1.2
ADMINSTRATOR,NONE,RNF,4,41101,General Office Clerk,0.817,3,"Administrator typically refers to administrative support roles that fall under clerical support workers, handling general office and administrative tasks.",LLM_ONLY,v1.2
SOCIAL SERVICE ASSOCIATE,NONE,T,3,34122,Social work associate,0.95,3,"Social Service Associate is an associate-level position in social services, falling under Group 3 as a social work associate professional.",LLM_ONLY,v1.2
BIOLOGIST,NONE,PME,2,21311,Biologist,1.0,3,"Biologist is a professional occupation requiring specialized scientific knowledge and qualifications, falling under Group 2 Professionals.",LLM_ONLY,v1.2
QC INSPECTOR,NONE,T,3,31720,Safety inspector (vehicles/processes/products),0.85,3,"QC (Quality Control) Inspector performs inspection work on products/processes, which falls under Group 3 Associate Professionals and Technicians as a safety/quality inspector role.",LLM_ONLY,v1.2
STATISTICIAN,NONE,PME,2,21221,Statistician,1.0,3,"Statistician is a professional occupation requiring specialized knowledge in statistical methods and analysis, falling under Group 2 Professionals.",LLM_ONLY,v1.2
PILOT,NONE,PME,2,21721,Commercial airline pilot,0.85,3,"Pilot without further specification most commonly refers to commercial airline pilots, which falls under Group 2 Professionals requiring specialized professional qualifications and training.",LLM_ONLY,v1.2
WAITRESS,NONE,RNF,5,51201,Waiter,0.98,3,Waitress falls under Group 5 Services and Sales Workers as explicitly listed in the classification guidelines for food service occupations.,LLM_ONLY,v1.2
HOMEMAKER,NA,NA,X,X0000,Not Applicable,1.0,3,Homemaker is explicitly listed as a category that should be classified as NA (Not Applicable) as it does not represent paid employment.,AGREE,v1.2
IMMIGRATION OFFICER,NONE,T,3,33510,Customs/Immigration officer,0.98,3,Immigration officer is explicitly listed under Group 3 Associate Professionals and Technicians with the specific SSOC code 33510 for Customs/Immigration officer.,LLM_ONLY,v1.2
HEALTHCARE ASSISTANT,NONE,RNF,5,53201,Healthcare assistant,1.0,3,Healthcare assistant is explicitly listed in the candidate codes as 53201 under RNF Group 5 Services and Sales Workers.,LLM_ONLY,v1.2
MARKETTING MANAGER,NONE,PME,1,12199,Marketing Manager,0.97,3,"Marketing Manager falls under Group 1 as managers are classified as PME by default, despite the misspelling of 'marketing'.",LLM_ONLY,v1.2
MASSEUR,NONE,RNF,5,51491,Masseur (non-medical),0.9,3,Masseur without medical qualification falls under Group 5 Services and Sales Workers as a personal service occupation.,LLM_ONLY,v1.2
COOK,NONE,RNF,5,51201,Cook,0.98,3,"Cook is a service occupation classified under Group 5 Services and Sales Workers, matching the exact candidate SSOC code provided.",LLM_ONLY,v1.2
QUALITY CONTROL TECHNICIAN,NONE,T,3,31175,Quality assurance technician,0.95,3,"Quality control technician falls under Group 3 as a technician role, with code 31175 being the closest match for quality assurance/control technician work.",LLM_ONLY,v1.2
PROCUREMENT MANAGER,NONE,PME,1,13242,Procurement/Purchasing manager,1.0,3,Procurement Manager is explicitly listed as a managerial position under Group 1 and matches the candidate SSOC code 13242 exactly.,LLM_ONLY,v1.2
IT SUPP ANALYST,NONE,PME,2,25112,ICT business process consultant/business analyst,0.85,3,"IT Support Analyst is an analyst role in ICT requiring professional-level knowledge, falling under Group 2 Professionals rather than Group 3 technicians.",LLM_ONLY,v1.2
ADVISOR,NONE,PME,2,24121,Financial/Investment adviser,0.65,3,"ADVISOR is a generic professional title that most commonly refers to financial/investment advisers or business consultants, which fall under Group 2 Professionals requiring specialized knowledge.",NEEDS_REVIEW,v1.2
HEALTH PROMOTION OFFICER,NONE,PME,2,22632,Environmental officer (public health),0.85,3,"Health promotion officer is a professional role focused on public health initiatives and falls under Group 2 Professionals, with the closest match being environmental officer (public health) which covers public health professional roles.",LLM_ONLY,v1.2
NETWORK TECHNICIAN,NONE,T,3,31141,Electronics engineering technician,0.85,3,"Network technician falls under Group 3 as technicians are explicitly classified in this group, and network technicians work with electronic communications equipment similar to electronics engineering technicians.",LLM_ONLY,v1.2
CONFINEMENT LADY,RNF,RNF,5,53112,Confinement nanny,0.98,3,"Confinement lady is synonymous with confinement nanny, providing postnatal care services, classified under Group 5 Services and Sales Workers.",AGREE,v1.2
SALES MANAGER,NONE,PME,1,12211,Sales manager,1.0,3,"Sales Manager is a managerial position that falls under Group 1 as per the rule that 'Manager' in title defaults to PME Group 1, and matches the candidate SSOC code 12211 exactly.",LLM_ONLY,v1.2
BUSINESS ANALYST,NONE,PME,2,25112,ICT business process consultant/business analyst,0.95,3,"Business Analyst is a professional role requiring analytical and problem-solving expertise, matching the ICT business process consultant/business analyst classification under Group 2 Professionals.",LLM_ONLY,v1.2
ASSISTANT DIRECTOR,NONE,PME,1,11202,Company director,0.75,3,"Assistant Director follows the base occupation 'Director' which falls under Group 1 management roles, though the specific context (company/film/government) affects the exact code.",LLM_ONLY,v1.2
SNR HR OFFICER,NONE,PME,2,24233,Personnel/Human resource officer,0.96,3,"Senior HR Officer is a human resource professional role that falls under Group 2 Professionals, with 'Senior' prefix following the base occupation's classification.",LLM_ONLY,v1.2
BIOMEDICAL ENGINEER,NONE,PME,2,21491,Biomedical engineer,1.0,3,"Biomedical engineer is explicitly listed as a professional occupation under Group 2, with an exact match in the candidate SSOC codes.",LLM_ONLY,v1.2
MISSIONARY,PME,PME,2,26369,Religious professional n.e.c.,0.92,3,"Missionary is a religious professional role requiring specialized knowledge and training, falling under Group 2 Professionals as religious professionals not elsewhere classified.",AGREE,v1.2
COORDINATOR,NONE,T,3,31412,Clinical research coordinator,0.4,3,"Generic 'Coordinator' title without context is ambiguous, but coordinators typically fall under Group 3 as associate professionals, selecting clinical research coordinator as a representative example from available codes.",NEEDS_REVIEW,v1.2
CLEANER,NONE,RNF,9,91131,Office/Commercial/Industrial establishment indoor cleaner,0.75,3,"Generic 'CLEANER' title falls under Group 9 as a cleaner occupation, with office/commercial indoor cleaner selected as the most common general cleaner category.",LLM_ONLY,v1.2
NURSING AIDE,NONE,RNF,5,53202,Nursing aide/assistant,1.0,3,Nursing aide is explicitly listed in the candidate codes under Group 5 Services and Sales Workers as a support role in healthcare.,LLM_ONLY,v1.2
WAITER,NONE,RNF,5,51312,Waiter,1.0,3,Waiter is explicitly listed under Group 5 Services and Sales Workers and matches the candidate SSOC code 51312 exactly.,LLM_ONLY,v1.2
CUSTOMS OFFICER,NONE,T,3,33510,Customs/Immigration officer,0.98,3,Customs Officer is explicitly listed in the candidate codes under Group 3 Associate Professionals and Technicians as code 33510.,LLM_ONLY,v1.2
MARINE SUPERINTENDENT,NONE,PME,2,21714,Marine superintendent,1.0,3,Marine superintendent is an exact match in the candidate list and falls under Group 2 Professionals as a specialized maritime professional role.,LLM_ONLY,v1.2
SNR ACCTS EXEC,NONE,T,3,33222,After sales adviser/Client account service executive,0.85,3,"Senior Accounts Executive is an associate professional role handling client accounts and business support functions, falling under Group 3 despite the 'Senior' prefix which follows the base occupation classification.",LLM_ONLY,v1.2
ACOUNTS EXECUTIVE,NONE,T,3,33491,Management executive,0.85,3,"Accounts Executive (despite misspelling) is an associate professional role handling accounting-related tasks, falling under Group 3 as a management/business executive position.",LLM_ONLY,v1.2
AIR CONDITIONING TECHNICIAN,NONE,T,3,31152,Air-conditioning/Refrigeration engineering technician,0.98,3,"Title contains 'Technician' which maps to Group 3, and matches the specific SSOC code for air-conditioning technicians.",LLM_ONLY,v1.2
LEGAL EXECUTIVE,NONE,T,3,34110,Legal associate professional,0.9,3,"Legal Executive is a legal associate professional role under Group 3, requiring technical legal knowledge but not at the professional lawyer level.",LLM_ONLY,v1.2
SENIOR SOFTWARE ENGINEER,NONE,PME,2,25121,Software developer,0.98,3,"Senior Software Engineer is a professional-level position requiring specialized knowledge in software development, and 'Senior' prefix follows the base occupation's classification as PME Group 2.",LLM_ONLY,v1.2
MEDICAL SOCIAL WORKER,NONE,PME,2,26622,Medical social worker,1.0,3,"Medical social worker is a professional occupation requiring specialized qualifications in social work applied to healthcare settings, directly matching the candidate SSOC code 26622.",LLM_ONLY,v1.2
SNR EXEC OPS,NONE,T,3,33229,Commercial/Marketing sales executive n.e.c.,0.65,3,"Senior Executive Operations is an executive-level position which typically falls under Group 3 Associate Professionals, with the generic operations executive role best matching commercial/marketing sales executive category.",NEEDS_REVIEW,v1.2
DESIGNER,NONE,PME,2,21669,Graphic/Multimedia designer/artist n.e.c.,0.65,3,"Generic 'Designer' title most likely refers to a professional-level design role, classified under the catch-all category for designers not elsewhere classified due to lack of specificity.",NEEDS_REVIEW,v1.2
FORKLIFT OPERATOR,NONE,RNF,8,83440,Forklift Operator,0.98,3,"Forklift operators are classified under Group 8 as plant and machine operators, operating mobile equipment for material handling.",LLM_ONLY,v1.2
CHIEF FINANCIAL OFFICER,NONE,PME,1,12111,Budgeting/Financial accounting manager,0.98,3,"Chief Financial Officer is a senior executive position responsible for financial management and strategy, falling under Group 1 as a senior official and manager, with the closest match being financial accounting manager.",LLM_ONLY,v1.2
PLANNER,NONE,T,3,33461,Logistics/Production planner,0.6,3,"Without additional context, 'Planner' most likely refers to a logistics or production planner role, which falls under Group 3 Associate Professionals, though the generic title creates ambiguity.",NEEDS_REVIEW,v1.2
BARISTA,NONE,RNF,5,51322,Barista,1.0,3,"Barista is a service worker role in food and beverage service, classified under Group 5 Services and Sales Workers.",LLM_ONLY,v1.2
HAWKER,RNF,RNF,5,52120,Hawker/Stall holder (prepared food/drinks),0.85,3,"Hawker typically refers to a stall holder selling prepared food and drinks, which falls under Group 5 Services and Sales Workers.",AGREE,v1.2
AIR TRAFFIC CONTROLLER,NONE,T,3,31540,Air traffic controller,1.0,3,Air traffic controller is explicitly listed under Group 3 Associate Professionals and Technicians and has a direct matching SSOC code.,LLM_ONLY,v1.2
SUPPLY CHAIN MANAGER,NONE,PME,1,13241,Supply and distribution/Logistics/Warehousing manager,0.98,3,"Supply Chain Manager is a managerial position overseeing supply and distribution operations, directly matching the SSOC code 13241 for supply and distribution managers.",LLM_ONLY,v1.2
FACTORY WORKER,NONE,RNF,8,83210,Manufacturing labourer,0.85,3,Factory worker is a general production/manufacturing role that falls under Group 8 as plant and machine operators and assemblers in manufacturing settings.,LLM_ONLY,v1.2
ENGINEERING TECHNICIAN,NONE,T,3,31151,Mechanical engineering technician,0.75,3,"Engineering Technician falls under Group 3 as per the key classification rule that 'Technician' in title defaults to T, with mechanical engineering technician chosen as a representative general engineering technician code.",LLM_ONLY,v1.2
PROMOTER,NONE,RNF,5,52421,Sales demonstrator,0.95,3,"Promoter is a sales-related occupation that demonstrates and promotes products to customers, falling under Group 5 Services and Sales Workers.",LLM_ONLY,v1.2
PROGRAM MANAGER,NONE,PME,1,12112,Administration manager,0.85,3,"Program Manager is a managerial role that falls under Group 1 as it involves planning, directing and coordinating programs, with Administration manager being the closest match from the candidate list.",LLM_ONLY,v1.2
PHARMACY TECHNICIAN,NONE,T,3,32130,Pharmacy technician,1.0,3,"Pharmacy technician is explicitly listed under Group 3 Associate Professionals and Technicians, with an exact match in the candidate SSOC codes.",LLM_ONLY,v1.2
MEDICAL TECHNOLOGIST,NONE,PME,2,21454,Food/Drink technologist,0.75,3,"Medical technologist is a professional-level occupation requiring specialized scientific knowledge, though the exact match would be a medical/clinical laboratory scientist rather than food/drink technologist from the available candidates.",LLM_ONLY,v1.2
PEST CONTROL TECHNICIAN,NONE,T,3,31399,Other process control technician n.e.c.,0.75,3,"Pest control technician falls under Group 3 as a technician role requiring specialized technical knowledge, and fits best under other process control technicians not elsewhere classified.",LLM_ONLY,v1.2
POLICE OFFICER,NONE,RNF,5,54121,Police officer,1.0,3,Police officer is explicitly listed under Group 5 Services and Sales Workers and matches the candidate SSOC code 54121.,LLM_ONLY,v1.2
ACCOUNTANT,NONE,PME,2,24111,Accountant (excluding tax accountant),0.95,3,Accountant is a professional occupation requiring specialized qualifications and falls under Group 2 Professionals.,LLM_ONLY,v1.2
TRAIN OFFICER,NONE,T,3,31596,Train operations officer,0.94,3,"Train officer directly matches the candidate code 31596 for train operations officer, which falls under Group 3 Associate Professionals and Technicians.",LLM_ONLY,v1.2
PRODUCTION TECHNICIAN,NONE,T,3,31172,Production engineering technician,0.9,3,"Production technician falls under Group 3 as technicians are explicitly classified as associate professionals, and the title matches the production engineering technician role.",LLM_ONLY,v1.2
RETRENCHED,NA,NA,X,X0000,Not Applicable,1.0,3,"RETRENCHED indicates employment status (unemployed/resigned) rather than an occupation, which falls under NA category as per classification rules.",AGREE,v1.2
UX DESIGNER,NONE,PME,2,25124,Interaction designer,0.95,3,"UX Designer is a type of interaction designer, a professional role requiring specialized knowledge in user experience and interface design, falling under Group 2 Professionals.",LLM_ONLY,v1.2
PHYSIOTHERAPIST,NONE,PME,2,22640,Physiotherapist,1.0,3,Physiotherapist is a healthcare professional requiring professional-level qualifications and falls under Group 2 Professionals.,LLM_ONLY,v1.2
DOCTOR,NONE,PME,2,22124,Internal medicine physician,0.85,3,"Doctor is a medical professional falling under Group 2 Professionals, with internal medicine physician being the most general medical doctor classification available.",LLM_ONLY,v1.2
SCHOOL ATTENDANT,NONE,RNF,9,96259,Attendant n.e.c.,0.85,3,"School attendant is a support role involving general assistance duties in schools, falling under Group 9 attendants not elsewhere classified.",LLM_ONLY,v1.2
PATIENT CARE ASSISTANT,NONE,RNF,5,53201,Healthcare assistant,0.95,3,"Patient care assistant is a healthcare support role that provides basic care services, classified under Group 5 Services and Sales Workers as a healthcare assistant.",LLM_ONLY,v1.2
PRODUCT MANAGER,NONE,PME,2,25114,ICT product manager,0.85,3,"Product Manager is a professional role requiring strategic planning and product development expertise, most commonly associated with ICT/technology products in modern contexts.",LLM_ONLY,v1.2
KITCHEN ASSISTANT,NONE,RNF,9,94101,Kitchen assistant,1.0,3,Kitchen assistant is an exact match in the candidate list and falls under Group 9 as a support role requiring basic skills.,LLM_ONLY,v1.2
OPTOMETRIST,NONE,PME,2,22670,Optometrist,1.0,3,Optometrist is a healthcare professional requiring professional-level qualifications and falls under Group 2 Professionals.,LLM_ONLY,v1.2
CHIEF EXECUTIVE OFFICER,NONE,PME,1,11201,Managing director/Chief executive officer,1.0,3,"Chief Executive Officer is explicitly listed under Group 1 as a senior official and manager role, with a direct matching SSOC code available.",LLM_ONLY,v1.2
PRODUCTION WORKER,NONE,RNF,8,43222,Production planning clerk,0.6,3,"Production worker typically refers to assembly/manufacturing workers in Group 8, though the closest available candidate code is production planning clerk which is actually a clerical role in Group 4.",NEEDS_REVIEW,v1.2
PROD ENGR,NONE,PME,2,21412,Production engineer,0.94,3,"PROD ENGR is an abbreviation for Production Engineer, which falls under Group 2 Professionals as engineers require professional-level qualifications.",LLM_ONLY,v1.2
BUS CAPTAIN,RNF,RNF,8,83311,Bus driver,0.98,3,"Bus Captain is the occupational title used in Singapore for bus drivers, which falls under Group 8 as a plant and machine operator.",AGREE,v1.2
LABORATORY TECHNICIAN,NONE,T,3,32120,Medical/Pathology laboratory technician,0.85,3,"Laboratory technician falls under Group 3 as technicians are associate professionals, with medical/pathology laboratory technician being the most common laboratory technician role in the candidate list.",LLM_ONLY,v1.2
SPORTS COACH,NONE,T,3,34221,Sports coach,1.0,3,"Sports coach is explicitly listed under Group 3 Associate Professionals and Technicians, with an exact matching SSOC code provided in the candidate list.",LLM_ONLY,v1.2
ENGINNEERING ASST,NONE,T,3,31100,Physical and Engineering Science Technicians,0.85,3,"Engineering Assistant falls under Group 3 as it is a support role to engineers, classified as technician-level work rather than professional engineering.",LLM_ONLY,v1.2
PRODUCTION OPERATOR,NONE,RNF,8,83212,Production machine operator,0.85,3,"Production operator is a machine operator role that falls under Group 8 Plant and Machine Operators and Assemblers, performing routine production operations.",LLM_ONLY,v1.2
SHOP ASSISTANT,NONE,RNF,5,52202,Shop sales assistant,0.993,3,"Shop assistant is a retail sales position that falls under Group 5 Services and Sales Workers, matching the candidate code 52202 for shop sales assistant.",LLM_ONLY,v1.2
PRESS OPERATOR,NONE,RNF,8,81841,Printing machine operator,0.85,3,"Press operator most commonly refers to printing press operations, falling under Group 8 as a machine operator role.",LLM_ONLY,v1.2
TRAVEL CONSULTANT,NONE,RNF,4,42210,Travel consultant/reservation executive,0.98,3,"Travel consultant is explicitly listed in the candidate codes as SSOC 42210 under Group 4 Clerical Support Workers, making it RNF classification.",LLM_ONLY,v1.2
CREATIVE DIRECTOR,NONE,PME,2,26543,Artistic director (stage/film/television/commercial/video/radio),0.85,3,"Creative Director is a professional-level role involving artistic and creative direction, best matching the artistic director classification under Group 2 Professionals.",LLM_ONLY,v1.2
PHARMACIST,NONE,PME,2,22621,Pharmacist (patient care),0.95,3,Pharmacist is a professional occupation requiring specialized qualifications and falls under Group 2 Professionals.,LLM_ONLY,v1.2
SYS ADMIN,NONE,T,3,35121,IT infrastructure technician,0.85,3,"SYS ADMIN (Systems Administrator) is a technical support role managing IT infrastructure, classified under Group 3 Associate Professionals and Technicians rather than professional-level systems analysts or architects.",LLM_ONLY,v1.2
CLINICAL PSYCHOLOGIST,NONE,PME,2,26611,Clinical psychologist,1.0,3,Clinical psychologist is a professional occupation requiring advanced qualifications in psychology and directly matches the candidate SSOC code 26611.,LLM_ONLY,v1.2
PROJECT MANAGER,NONE,PME,1,24213,Business/Financial project management professional,0.85,3,"Project Manager is a management role that falls under PME, with the most appropriate match being business/financial project management professional from the candidate list.",LLM_ONLY,v1.2
DESPATCH RIDER,NONE,RNF,8,83214,Despatch Rider,0.98,3,"Despatch riders are motorcycle/vehicle operators who deliver goods and documents, falling under Group 8 as transport operators.",LLM_ONLY,v1.2
FOOD DELIVERY RIDER,RNF,RNF,8,83211,Motorcycle delivery worker,0.95,3,"Food delivery riders are classified as motorcycle delivery workers under Group 8, as they operate vehicles for delivery purposes.",AGREE,v1.2
PLUMBER,NONE,RNF,7,71261,Plumber,1.0,3,Plumber is a skilled trades occupation that falls under Group 7 Craftsmen and Related Trades Workers.,LLM_ONLY,v1.2
ACCOUNTING TECHNICIAN,NONE,T,3,33111,Accounting Technician,0.98,3,Accounting technician with 'technician' in title falls under Group 3 as an associate professional providing technical support in accounting functions.,LLM_ONLY,v1.2
